 section index, x coordinate [mm], halpha [W/m^2/K], halpha_c [W/m^2/K], q_rad [W/m^2], q_total [W/m^2], T_wall_i [K], T_coolant [K], P_coolant [Pa], Re_coolant, v_coolant [m/s], T_hg (cinjarev) [K]
33,-9.73590898655441,1175.2670942599198,21596.51083432695,129171.90912805291,1886859.5845555826,473.9697896313567,327.1749052006622,4987900.218409089,26258.519020213582,3.225546009110321,1967.4426367537542
34,-7.235908986554406,1747.2608674751898,26903.377378347,117192.90261076759,2680871.4909171253,498.39984814520153,325.3661910519464,4988453.208738084,29323.82127517044,3.9236144068899175,1964.4153314356977
35,-4.735908986554405,2652.6334745971117,33919.44142452781,98858.6696091983,3880964.681352571,530.6806602879209,323.24564430286625,4989296.201194552,32662.829452121805,4.8074899412119985,1954.3199661910735
36,-2.2359089865544024,3372.85921758042,38732.93939690172,75484.25494442061,4710462.018217604,559.1718439614375,321.54649311021745,4990490.450797068,34376.66269929269,5.3969835161729325,1931.6295593537689
37,0.2640910134455998,3526.7147259265616,39471.67702898883,58370.0251685172,4773915.656198673,557.9156199645831,319.81015783175894,4992009.199425807,34246.33833802751,5.494739834526645,1893.301865373826
38,2.764091013445602,8050.584251296403,34342.90024384512,25670.12396899005,8877367.286611294,707.1110680782627,317.955190666967,4993707.333004774,31399.69642313339,4.8936173063082515,1802.4088962410815
39,5.264091013445604,6615.256975798427,30377.38018147176,17050.83380316446,7242295.458482741,673.4118306285761,314.5977836649755,4994972.540376042,29020.39556990816,4.4151883505492675,1761.4483923302998
40,7.764091013445606,5571.918641644804,27259.244690809133,12401.427524800982,6072626.069593457,648.82090608686,311.6874441610449,4995947.945902169,26995.00933484597,4.030318194771396,1731.7700622440434
41,10.264091013445608,4798.940553660181,24640.944623963594,9475.968204141593,5254089.184964433,617.0758877324852,309.001891363329,4996725.993931328,25080.112423470113,3.7033460982526147,1708.158320582857
42,12.764091013445611,4210.24585182529,22585.70914298831,7600.355532058224,4600831.430069715,600.589448920292,305.7848456029816,4997356.368301933,23486.81548478188,3.442808809842486,1689.7725759527366
43,15.264091013445613,3787.228245940161,20960.801209916757,6345.338388907574,4157672.2352766874,581.694892096584,302.8621424891433,4997882.242111119,22146.261711563107,3.23508601827308,1675.3578923138018
44,17.764091013445615,3460.1655832703805,19662.911589867577,5471.5623507563,3802475.47253149,570.3740890327399,300.10350965197836,4998333.46407616,21013.75457404317,3.0685094735926617,1663.9352932372528
45,20.26409101344562,3205.8619954661403,18615.954815506328,4844.02106031406,3520363.852689755,562.5220481114274,297.5017950345394,4998730.285388673,20052.27527281761,2.9341345830073764,1654.81356590708
46,22.76409101344562,3018.8177770658663,17759.615684022687,4382.824661201542,3328140.7363717505,548.6948706692868,295.0503189154948,4999086.717626746,19221.24590035982,2.8248583415463604,1647.5001947183646
47,25.264091013445622,2870.2256557838014,17048.394619287337,4038.294347647986,3170320.1027846606,541.3881543199221,292.6752406592705,4999412.671928881,18486.872501837122,2.7352721542683764,1641.6332625214604
48,27.764091013445626,2749.6261196720875,16458.202040170716,3778.0838115510787,3034923.170743779,538.0291932620946,290.30013042928965,4999715.326474594,17844.645841235706,2.6620361381223825,1636.9370794581755
49,30.264091013445626,2658.8402891456985,16134.756732943048,3583.932809101935,2935372.5209145793,532.8080312933095,288.0,5000000.0,17630.422576698864,2.615520472934285,1633.2656594031776
